ALL_Uniq,Name_USGSO,Densità_pop,evi,eolico,eolico_std,offshore,gdp_pro_capite,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,superficie_res,Densità_pop_etichetta,Solar_etichetta,GDP_procap_etichetta,Wind_class,NO_res,gdp_pop_urban_merged
87884,Canchimalero,0.4535660989879175,-0.009126040578530075,1.080830871530655,0.05125759205098008,0.0,0.03914133276036284,0.0,1.8394015264424104,-0.07780611071870039,6.384217870630103,-0.5000326891812199,0.19856954510646196,M,M,lm-um-h,1,0,0.4166571917673217
87889,Sanquiamba,-1.2492322091367543,-0.09723553579325363,1.5681207127532015,0.3286410700588254,0.0,-0.44305122584487877,0.0,0.0,-0.04458034422245071,6.138893063589415,-0.3693493838647069,0.16695339151077535,S,M,lm,1,0,-0.2658844855756764
87891,Mulato,-0.7852210038268462,-0.08966753518484329,1.553441444129254,0.2356591868948768,0.0,-0.4529523024363847,0.0,0.0,-0.04714131881152893,6.1800786963532826,-0.37026495285953,-0.5425559524130654,S,M,lm,1,0,-0.2414740897509893
87949,Ilha São Domingos,-1.0612640613900841,0.9553543655423556,0.5654924680319197,0.020683611493414855,0.0,-0.29261576924985344,0.0,2.3033058463964275,0.09375726969162922,7.372587944926121,-0.13894689908357505,-0.3714958299699857,S,M,lm-um,1,0,-0.09450160924190709
87952,Ilha Buiuçu,-0.01750710462364734,0.852952734560929,0.5218738822274587,0.12303305801950294,0.0,-0.25449372404516696,0.0,2.15772036793267,0.09437161103201731,7.386971060758551,-0.1399102431324718,1.1564722968049692,M,M,lm-um,1,0,1.0307692569096862
87954,Ilha Santarém,-0.27508601503015573,0.9291818604068964,0.7197165927389833,0.4502431736481967,0.0,-0.32211339159643776,0.0,1.8863713573698544,0.09476706923350843,7.756150249027118,-0.13063746223946024,-0.0023061170894996146,S,L,lm-um,1,0,-0.07985258080903901
87955,Ilha Sirituba,-0.08600656225278264,0.9580457955104235,1.1704696316151362,0.19600075835974887,0.0,-0.017687456949558176,0.0,2.1937626288981202,0.08128558160219884,7.580358702503448,-0.20163298482881226,0.7319044106452244,M,M,lm-um-h,1,0,1.2021951229838248
87957,Ilha de Palhêta,-0.3420526719405524,0.8417330986111649,1.0913597143212908,0.30663767156136307,0.0,-0.32211339159643776,0.0,2.1706525983503013,0.10393758995174707,7.615699020625316,-0.12586403576277727,0.4187530163817197,S,M,lm-um,1,0,0.22284815285770143
87961,Ilha do Comandaí,-1.5433352598354566,0.39263536946890343,0.7153890102034142,-0.10533843848861216,0.0,0.06424302220957583,2.499956014054622,2.263998436313715,0.08181643347056111,7.576559759476755,-0.2054619517797488,1.3186849173205235,S,M,lm-um-h,1,0,-0.1952195300772124
87963,Ilha de Santana,-0.36509461409110355,0.8432508768848721,1.2490847739935513,0.15497086755579742,0.0,-0.28482458428702007,0.0,2.193995880112327,0.08639026676604067,7.762411712425918,-0.10312976852610166,0.7858129371686271,S,L,lm-um,1,0,-0.09217942056031439
87964,Ilha Grande de Taiaçuí,-1.405618548147395,0.29300211552474614,0.6235918593776346,0.08351507553171605,0.0,0.08012502953587462,0.0,1.9770740343394884,0.09917629374085901,7.287531558314677,-0.15251882418694465,0.30489830286553643,S,M,lm-um-h,1,0,-0.26252334142076955
87965,Ilha dos Macacos,-1.0731181266817549,0.9928536577155253,0.5986357699922462,0.3512612363904859,0.0,-0.24791473640883577,0.0,2.557109178884669,0.08796536423144886,7.1664883294557535,-0.09557158330266106,2.1027838353112083,S,M,lm-um,1,0,0.5202748016400527
87969,Ilha Tapuia,-1.1149358600842565,0.9043792152446016,0.5852034852883705,0.2854090407078325,0.0,-0.24791473640883577,3.104015812593366,2.341776585129424,0.08853322126730626,7.110964182840274,-0.016640114965348902,-0.5640870560505526,S,M,lm-um,1,0,-0.15209976322502408
87971,Ilha Ituquara,-1.1393188900835836,0.7366339805699911,0.58168078091863,0.08457646607521117,0.0,-0.2760176869276975,0.0,2.4256053790430174,0.09396084850945578,7.14232551324224,-0.02717502930910043,0.8709439082013147,S,M,lm-um,1,0,-0.06485755865298894
87972,Ilha Urutaí,-1.2215859491501946,0.5444763978621248,0.5797376299853391,0.06324469999817939,0.0,-0.3386753763086763,2.19940673892813,2.412281520360959,0.10383426764127242,7.30425934708366,-0.06592881237522384,-1.0426780854600197,S,M,lm-um,1,1,-0.08185322877339665
87974,Ilha Aranaí,-1.1381417632459265,0.5840186408138204,0.626106893332915,0.04687383239185866,0.0,-0.24791473640883577,0.0,1.9978420491447215,0.09317610858755647,7.137033017646887,-0.019769828632354478,0.9183342010538207,S,M,lm-um,1,0,-0.18419459283831072
87975,Ilha Japichaua,-1.1877491501371367,0.9724242099277884,0.6389679945057706,0.25003672686513734,0.0,-0.2704083846868834,0.0,2.490264469553861,0.08871784095014339,7.003555247567029,0.008397142132032808,-0.1296767520574357,S,M,lm-um,1,0,0.17261448661245307
87976,Ilha Santa Cruz,-1.0697670166390583,0.600008339901677,0.7337630927837203,0.20296067305283402,0.0,-0.2526562538556027,0.0,2.438676299639867,0.0984477525163933,6.9410658264792975,0.06123178345819412,-0.6060087146557279,S,M,lm-um,1,0,-0.21118633736257095
87979,Ilha do Mututi,-1.1455513266759945,0.8585603952128408,0.6551081386149192,0.03446048569353484,0.0,-0.2526562538556027,0.0,2.4523413812151422,0.09595259040819173,7.077455410279315,0.0010731494838556888,1.1186891105910366,S,M,lm-um,1,0,0.12046756402211327
87980,Ilha Capinal,-1.0942742271204142,0.5818882701317639,0.737330854828468,0.12563818691197573,0.0,-0.2526562538556027,0.0,2.206939148764545,0.09750773572491071,6.901954390419687,0.027396555956526833,-0.40082294814243874,S,M,lm-um,1,0,-0.16544415819271024
87981,Ilha Caldeirão,-1.1532850499461988,0.8150640797389902,0.7526422797422523,-0.03675999988439926,0.0,-0.27412685586759833,0.0,2.19538808408588,0.10151955435523546,7.1426397730703854,0.00718338590182799,-0.6058441389166128,S,M,lm-um,1,0,-0.22643437454568388
87982,Ilha Grande de Gurupá,-1.545452946927906,0.9086253089251892,0.6290486591006134,0.11397869036665949,0.0,0.028356222491047033,2.458377533585307,2.8321566715597606,0.1014143592488428,7.208639247290708,-0.07722379369464033,-1.0426780854600197,S,M,lm-um-h,1,1,0.884625512261351
87983,Ilha Acarapereira,-1.2838969358813772,0.8401786326803518,0.8075218231936371,0.26431958845958325,0.0,-0.2704083846868834,0.0,2.3529238669990913,0.09726728799561792,6.80014607268267,0.06478784315789815,0.2967300640905116,S,M,lm-um,1,0,0.017745536501780235
87984,Ilha Porquinhos,-0.9164959071939961,0.29500545520155674,0.9254063623506897,-0.04835681480896951,0.0,-0.32003274733577547,0.0,2.1063625125762617,0.09964896422637158,7.155774851824895,-0.002358978726278486,0.9423373678723966,S,M,lm-um,1,0,-0.211307405203243
87986,Ilha Maracujá,-1.133295341897211,0.7021568010540127,0.7802024362991237,0.006571308775537307,0.0,-0.2670160006320373,0.0,2.219935796730557,0.1058566451714584,7.034707889801867,0.01757729695233583,0.807135768344401,S,M,lm-um,1,0,-0.1730164428609534
87987,Ilha Vieira,-1.221782872448274,0.7073465097448699,0.7665914850808743,0.0648172569753833,0.0,-0.2526562538556027,0.0,2.3227132410725324,0.10624858924443487,7.066221439808091,0.028631503264190943,0.5115507248229005,S,M,lm-um,1,0,-0.16611098346185915
87988,Ilha Rasa,-1.0733478316185037,0.6563474417647462,0.9699244324539952,0.004772946541534767,0.0,-0.2670160006320373,0.0,2.0954173557390687,0.09967474306549325,7.022326543603924,0.0498444081305799,0.45811570491451176,S,M,lm-um,1,0,-0.2616453733235447
87989,Ilha Charapucu,-1.4401885909924288,0.933205878651747,1.1100669631032414,0.09765538568200359,0.0,-0.30782986054341027,0.0,2.5341145595831467,0.09232084741266532,6.761271559071622,0.08172447800052406,0.5979803118272157,S,M,lm-um,1,0,0.19676808538530016
88044,Pulau Maputi,-0.0631623662440456,0.3979846951905912,1.7142261466063387,0.00010760509843911633,0.0,0.023121282353186633,0.0,0.0,0.10317519859439568,6.827706004903035,-0.4416088116969817,-0.33039478312407744,M,M,lm-um-h,1,0,-0.2532826465251742
88142,Samiruddin Char,0.6613783355753146,-0.4832838314131233,1.4743128327481534,0.6797670391174686,0.0,-0.2662761443775814,0.0,0.0,-0.039931765809587946,6.764471035108429,0.060465258397310914,-0.15426368857534234,M,M,lm-um,1,0,0.6266092698998068
88154,Île de Bai Luoi,1.202507997085035,-0.9706939989973999,2.1862847386009587,-0.1413214134031162,1.7217408583390788,0.6503526519599485,0.0,0.0,0.15322985270734524,7.2805572816077655,-0.10950958708003056,-0.0021764718112133948,L,M,h,2,0,1.3244262840412244
88321,UNNAMED,-0.1048601875665868,0.49136481907872864,0.4651493378037761,0.39490311090460956,0.0,0.24590682239307604,0.0,0.0,0.13260804891471326,7.43895651076752,-0.3017300669581265,0.317584720614742,M,M,um-h,1,0,-0.14095345449111005
88330,UNNAMED,0.2056600674204391,0.7207858491608863,0.45260963377719765,0.4758253753892227,0.0,-0.10032501322791824,0.0,1.8381568711572307,0.12762340793488344,7.539668601838389,-0.28905822648794366,-0.18412277466776383,M,M,lm-um,1,0,0.015350513047150387
88335,UNNAMED,0.25367229477440867,0.11809524756040561,0.49902544830221673,0.5369235651768626,0.0,-0.10032501322791824,0.0,0.0,0.1441564666609595,7.549359916642806,-0.30642932045356364,-0.3776242037856334,M,M,lm-um,1,0,-0.1660497864182673
88339,UNNAMED,0.1996293169534462,-0.029835334083605607,0.5519724128242438,0.5853708749503477,0.0,-0.10032501322791824,0.0,0.0,0.14598154952447479,7.6931043261603795,-0.28960288750655433,-0.4953086826801403,M,M,lm-um,1,0,-0.20972800742519038
88340,UNNAMED,0.14309778355400884,0.5550036378652216,0.5171595420842238,0.5825498035879344,0.0,-0.10032501322791824,0.0,1.9494323694285602,0.14458283661277893,7.436222286585662,-0.3136864585728943,0.14699500933365522,M,M,lm-um,1,0,0.14177150571614072
