ALL_Uniq,Name_USGSO,Densità_pop,evi,eolico,eolico_std,offshore,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,superficie_res,Densità_pop_etichetta,Solar_etichetta,Wind_class,consumption_etichetta,NO_res,gdp_cons_pop_urban_merged
87884,Canchimalero,0.4657111070612902,-0.022850384790222385,-0.8447879712613021,-0.02748279787451021,0.0,0.0,0.9827834016859415,-0.07681796445798758,-0.38146785989039345,-0.5606395886877519,0.1311283576317114,M,M,1,XS,0,0.15211941249645805
87889,Sanquiamba,-1.1605920836736403,-0.1165562419621399,-0.5016868461933385,0.26287705579012766,0.0,0.0,0.0,-0.04569846153861138,-0.6171146623489653,-0.43063164722688924,0.10061037869509012,S,M,1,XS,0,-0.1591851440321772
87891,Mulato,-0.7174257379404531,-0.10850755229072123,-0.5159544764306071,0.1486113034148553,0.0,0.0,0.0,-0.04809708960969783,-0.5755356806930965,-0.4312790008574544,-0.5842544372500676,S,M,1,XS,0,-0.16188900430828837
87949,Ilha São Domingos,-0.9810680631373435,1.0028899506960474,-1.233788044609473,-0.0519950250297251,0.0,0.0,1.2306452518949074,0.08386958862344192,0.4818262369167864,-0.19819273472768112,-0.41913602087426977,S,M,1,S,0,0.05999606670948276
87952,Ilha Buiuçu,0.015800010457638777,0.893984178582244,-1.2522509889304916,0.01919740910860897,0.0,0.0,1.152859629939153,0.08444498534567768,0.4815363731454391,-0.2009443950502309,1.0557587340369834,M,M,1,M,0,1.079595668292311
87954,Ilha Santarém,-0.23020763581579262,0.9750550729444748,-1.1015025378449588,0.3827423487131864,0.0,0.0,1.0078791567736125,0.08481537447295848,0.8342544681841572,-0.19255406658085475,-0.06276996745146898,S,L,1,XS,0,-0.06642866345616566
87955,Ilha Sirituba,-0.049622233606347335,1.0057523295073363,-0.7895858878107956,0.13154514241556067,0.0,0.0,1.1721168368767743,0.07218851171126937,0.6747591239379896,-0.26123813658976214,0.6459380464010076,M,M,1,S,0,0.6736380565254128
87957,Ilha de Palhêta,-0.2941659374458735,0.8820519163298344,-0.8450857529986869,0.24597040763169323,0.0,0.0,1.159769258543087,0.09340455318447524,0.7074171088431142,-0.18517985066225787,0.34366384264046396,S,M,1,S,0,0.1745976914088809
87961,Ilha do Comandaí,-1.441483089657161,0.40442929959959106,-1.116231907895176,-0.18875471934306118,0.0,1.1292458132872407,1.2096434914651073,0.07268571156575943,0.6631030868295711,-0.2665432823527579,1.2123369629845806,S,M,1,S,0,0.04632487657953325
87963,Ilha de Santana,-0.31617276224794943,0.8836660977956123,-0.724464575129811,0.08108232545200353,0.0,0.0,1.172241461880315,0.07696959824772641,0.8420727382391069,-0.16664712041269375,0.6979740814603117,S,L,1,XS,0,-0.07131687810308267
87964,Ilha Grande de Taiaçuí,-1.3099530507986665,0.29846774073567783,-1.1836185606010827,0.006283734473862253,0.0,0.0,1.0563411614706761,0.08894508732530704,0.40944739960721993,-0.21583942036168516,0.23376382781399338,S,M,1,XS,0,-0.14556800109856738
87965,Ilha dos Macacos,-0.9923896061028497,1.042771047595577,-1.2052085006137303,0.285916684940958,0.0,0.0,1.3662511535299093,0.07844484638620329,0.3050510592105325,-0.16022277991917871,1.9692005134808652,S,M,1,M,0,0.8181567132279169
87969,Ilha Tapuia,-1.0323287538793646,0.9486770631806035,-1.2119475266271946,0.21507574324897444,0.0,1.4087879191308172,1.2511999828407443,0.07897670555902771,0.2523712466850491,-0.08147732920407995,-0.6050376664718757,S,M,1,S,0,-0.009552417983233483
87971,Ilha Ituquara,-1.055616420597429,0.7702773235908786,-1.21554298999734,0.00939131107798071,0.0,0.0,1.2959893048334108,0.08406026207611883,0.28086939367965225,-0.09251789302909837,0.7801480617000875,S,M,1,S,0,0.12553198140136648
87972,Ilha Urutaí,-1.1341877816412131,0.5659146614754877,-1.2167181448551092,-0.014837573175986494,0.0,0.991126448699295,1.2888704311286237,0.09330778073099993,0.4253394004650996,-0.1283841091172231,-1.0670050247265703,S,M,1,S,1,0.1595067188206968
87974,Ilha Aranaí,-1.0544921740423043,0.6079684691980142,-1.1821579321114841,-0.030388961222120876,0.0,0.0,1.0674374120408423,0.08332526876021622,0.278256959841424,-0.08614727480807641,0.8258922713711341,S,M,1,S,0,-0.038786411526383284
